design,procedure,participant,period,position,posture,support,precision,recall,f1
grouped_repetitions,triplet_default,Pooled,held_only,8,Sitting,3005,0.301364522417154,0.2572379367720466,0.2775583482944345
grouped_repetitions,triplet_default,P01,all_rows,1,Standing straight,8476,0.49504846186262114,0.5543888626710712,0.5230409617097062
grouped_repetitions,triplet_default,P01,all_rows,2,Left arm raise,1223,0.3988050784167289,0.4366312346688471,0.41686182669789235
grouped_repetitions,triplet_default,P01,all_rows,3,Right arm raise,1199,0.3935969868173258,0.3486238532110092,0.3697478991596639
grouped_repetitions,triplet_default,P01,all_rows,4,Left shoulder touch and twist,1202,0.2940613026819923,0.25540765391014975,0.2733748886910063
grouped_repetitions,triplet_default,P01,all_rows,5,Right shoulder touch and twist,1199,0.3227906976744186,0.28940783986655544,0.30518909410729994
grouped_repetitions,triplet_default,P01,all_rows,6,Both arms raise,1199,0.26851851851851855,0.24186822351959966,0.2544975866608161
grouped_repetitions,triplet_default,P01,all_rows,7,Forward bend,1203,0.41223103057757643,0.3025768911055694,0.348993288590604
grouped_repetitions,triplet_default,P01,all_rows,8,Sitting,1199,0.2691891891891892,0.20767306088407006,0.2344632768361582
grouped_repetitions,triplet_default,P01,held_only,1,Standing straight,6980,0.49939009514515736,0.5865329512893983,0.5394650151535116
grouped_repetitions,triplet_default,P01,held_only,2,Left arm raise,1001,0.3938832252085264,0.4245754245754246,0.40865384615384615
grouped_repetitions,triplet_default,P01,held_only,3,Right arm raise,998,0.482367758186398,0.3837675350701403,0.42745535714285715
grouped_repetitions,triplet_default,P01,held_only,4,Left shoulder touch and twist,1005,0.30759651307596514,0.24577114427860697,0.27323008849557523
grouped_repetitions,triplet_default,P01,held_only,5,Right shoulder touch and twist,1003,0.3245109321058688,0.2811565304087737,0.30128205128205127
grouped_repetitions,triplet_default,P01,held_only,6,Both arms raise,1003,0.2747747747747748,0.2432701894317049,0.25806451612903225
grouped_repetitions,triplet_default,P01,held_only,7,Forward bend,999,0.43733333333333335,0.3283283283283283,0.3750714694110921
grouped_repetitions,triplet_default,P01,held_only,8,Sitting,1000,0.2746710526315789,0.167,0.20771144278606965
grouped_repetitions,triplet_default,P02,all_rows,1,Standing straight,8503,0.4745780480134186,0.5324003292955427,0.5018290655138011
grouped_repetitions,triplet_default,P02,all_rows,2,Left arm raise,1200,0.30009871668311944,0.25333333333333335,0.2747401717126073
grouped_repetitions,triplet_default,P02,all_rows,3,Right arm raise,1201,0.4799154334038055,0.37801831806827646,0.4229156963204472
grouped_repetitions,triplet_default,P02,all_rows,4,Left shoulder touch and twist,1194,0.3760611205432937,0.3710217755443886,0.3735244519392917
grouped_repetitions,triplet_default,P02,all_rows,5,Right shoulder touch and twist,1200,0.2636871508379888,0.19666666666666666,0.22529832935560856
grouped_repetitions,triplet_default,P02,all_rows,6,Both arms raise,1201,0.4158415841584158,0.38467943380516234,0.3996539792387543
grouped_repetitions,triplet_default,P02,all_rows,7,Forward bend,1200,0.4667381974248927,0.3625,0.4080675422138837
grouped_repetitions,triplet_default,P02,all_rows,8,Sitting,1201,0.15241057542768274,0.16319733555370525,0.15761962203457983
grouped_repetitions,triplet_default,P02,held_only,1,Standing straight,7015,0.488861985472155,0.5756236635780471,0.5287070376432079
grouped_repetitions,triplet_default,P02,held_only,2,Left arm raise,996,0.3053152039555006,0.24799196787148595,0.2736842105263158
grouped_repetitions,triplet_default,P02,held_only,3,Right arm raise,1000,0.5609103078982597,0.419,0.47967945048654836
grouped_repetitions,triplet_default,P02,held_only,4,Left shoulder touch and twist,997,0.4125799573560768,0.3881644934804413,0.4
grouped_repetitions,triplet_default,P02,held_only,5,Right shoulder touch and twist,1000,0.24283559577677225,0.161,0.1936259771497294
grouped_repetitions,triplet_default,P02,held_only,6,Both arms raise,999,0.452914798206278,0.4044044044044044,0.4272871496562665
grouped_repetitions,triplet_default,P02,held_only,7,Forward bend,1000,0.5501432664756447,0.384,0.45229681978798586
grouped_repetitions,triplet_default,P02,held_only,8,Sitting,1003,0.14955134596211367,0.14955134596211367,0.14955134596211367
grouped_repetitions,triplet_default,P03,all_rows,1,Standing straight,8507,0.5284307815953385,0.6183143293758081,0.5698499539569903
grouped_repetitions,triplet_default,P03,all_rows,2,Left arm raise,1201,0.22866894197952217,0.16736053288925895,0.19326923076923075
grouped_repetitions,triplet_default,P03,all_rows,3,Right arm raise,1198,0.3768267223382046,0.3013355592654424,0.33487940630797774
grouped_repetitions,triplet_default,P03,all_rows,4,Left shoulder touch and twist,1197,0.3671497584541063,0.38095238095238093,0.3739237392373923
grouped_repetitions,triplet_default,P03,all_rows,5,Right shoulder touch and twist,1201,0.24357034795763993,0.1340549542048293,0.17293233082706763
grouped_repetitions,triplet_default,P03,all_rows,6,Both arms raise,1200,0.3069306930693069,0.18083333333333335,0.22758259045621396
grouped_repetitions,triplet_default,P03,all_rows,7,Forward bend,1198,0.3698630136986301,0.4056761268781302,0.38694267515923564
grouped_repetitions,triplet_default,P03,all_rows,8,Sitting,1199,0.45615514333895446,0.451209341117598,0.4536687631027253
grouped_repetitions,triplet_default,P03,held_only,1,Standing straight,7006,0.5450536352800953,0.6527262346560091,0.5940504027020005
grouped_repetitions,triplet_default,P03,held_only,2,Left arm raise,998,0.23931623931623933,0.1683366733466934,0.19764705882352943
grouped_repetitions,triplet_default,P03,held_only,3,Right arm raise,997,0.4461756373937677,0.3159478435305918,0.369935408103347
grouped_repetitions,triplet_default,P03,held_only,4,Left shoulder touch and twist,999,0.41876208897485495,0.43343343343343343,0.425971470732907
grouped_repetitions,triplet_default,P03,held_only,5,Right shoulder touch and twist,1002,0.3038461538461538,0.15768463073852296,0.2076215505913272
grouped_repetitions,triplet_default,P03,held_only,6,Both arms raise,1004,0.3167495854063018,0.1902390438247012,0.23771001866832606
grouped_repetitions,triplet_default,P03,held_only,7,Forward bend,1002,0.40599455040871935,0.44610778443113774,0.42510699001426533
